Keyword Stats 2026-04-30 at 13_43_39,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
carpet cleaning,USD,500000,0%,0%,High,94,2,11.09,,,,,Y,,,,,,,,,,,,
carpet cleaning near me,USD,500000,0%,0%,Medium,64,2.77,14.71,,,,,Y,,,,,,,,,,,,
bissell carpet cleaner,USD,50000,0%,0%,High,100,5.11,7,,,,,Y,,,,,,,,,,,,
rug cleaning near me,USD,50000,0%,0%,Medium,64,2.48,11.5,,,,,Y,,,,,,,,,,,,
stanley steemer near me,USD,50000,0%,0%,Medium,49,1.85,10.27,,,,,Y,,,,,,,,,,,,
hoover carpet cleaner,USD,50000,0%,0%,High,100,0.2,1,,,,,Y,,,,,,,,,,,,
best carpet cleaner,USD,50000,0%,0%,High,100,0.53,3.28,,,,,Y,,,,,,,,,,,,
carpet cleaning services,USD,50000,0%,0%,Low,19,3.04,14.87,,,,,Y,,,,,,,,,,,,
area rug cleaning near me,USD,50000,0%,0%,Medium,64,2.48,11.5,,,,,Y,,,,,,,,,,,,
rug cleaning,USD,50000,0%,0%,Medium,59,2.61,11.15,,,,,Y,,,,,,,,,,,,
professional carpet cleaning,USD,50000,0%,0%,High,87,2.7,13.38,,,,,Y,,,,,,,,,,,,
bissell spotclean pro,USD,5000,0%,0%,High,100,0.29,1.69,,,,,Y,,,,,,,,,,,,
zerorez carpet cleaning,USD,50000,0%,-90%,Medium,61,1.54,8.69,,,,,Y,,,,,,,,,,,,
sofa cleaning,USD,50000,0%,0%,High,94,1.29,8.58,,,,,Y,,,,,,,,,,,,
oriental rugs,USD,50000,0%,0%,High,100,0.76,3.9,,,,,Y,,,,,,,,,,,,
coit carpet cleaning,USD,5000,0%,0%,High,84,3,16.41,,,,,Y,,,,,,,,,,,,
carpet steam cleaner,USD,50000,0%,0%,High,100,0.51,6.63,,,,,Y,,,,,,,,,,,,
chem dry carpet cleaning,USD,5000,0%,0%,Medium,47,2.04,10.52,,,,,Y,,,,,,,,,,,,
oriental rug cleaning near me,USD,5000,0%,0%,High,68,2.27,11.59,,,,,Y,,,,,,,,,,,,
bissell spot clean,USD,5000,0%,0%,High,100,0.34,1.45,,,,,Y,,,,,,,,,,,,
zero rez,USD,50000,0%,0%,Medium,44,0.57,8.73,,,,,Y,,,,,,,,,,,,
carpet drying service,USD,500,900%,900%,High,84,10,54.28,,,,,Y,,,,,,,,,,,,
professional carpet cleaning near me,USD,5000,0%,-90%,High,67,2.28,13,,,,,Y,,,,,,,,,,,,
area rug cleaning,USD,5000,900%,0%,Medium,60,1.9,10,,,,,Y,,,,,,,,,,,,
carpet cleaning services near me,USD,50000,0%,0%,Medium,39,2.74,14.53,,,,,Y,,,,,,,,,,,,
carpet cleaning companies,USD,50000,0%,0%,Medium,46,3.09,15.51,,,,,Y,,,,,,,,,,,,
carpet removal,USD,5000,0%,0%,Medium,52,2.27,17.31,,,,,Y,,,,,,,,,,,,
professional rug cleaning,USD,5000,0%,0%,Medium,47,2.65,11.22,,,,,Y,,,,,,,,,,,,
rug cleaning service,USD,50000,0%,0%,Low,19,3.04,14.87,,,,,Y,,,,,,,,,,,,
portable carpet cleaner,USD,50000,0%,0%,High,71,0.24,1.68,,,,,Y,,,,,,,,,,,,
spot cleaner,USD,5000,0%,0%,High,100,0.38,1.45,,,,,Y,,,,,,,,,,,,
carpet steamer,USD,5000,0%,0%,High,100,0.39,4.56,,,,,Y,,,,,,,,,,,,
$99 carpet cleaning near me,USD,5000,900%,0%,High,83,1.81,9.5,,,,,Y,,,,,,,,,,,,
modernistic carpet cleaning,USD,5000,900%,900%,Medium,60,2.69,15,,,,,Y,,,,,,,,,,,,
carpet extractor,USD,5000,900%,900%,High,100,0.51,4.4,,,,,Y,,,,,,,,,,,,
carpet and upholstery cleaner,USD,5000,0%,0%,High,100,0.94,10.74,,,,,Y,,,,,,,,,,,,
pet carpet cleaner,USD,5000,0%,0%,High,100,0.59,4.91,,,,,Y,,,,,,,,,,,,
bissell spotclean pet pro,USD,5000,-90%,0%,High,100,0.47,2.27,,,,,Y,,,,,,,,,,,,
carpet removal cost,USD,5000,0%,0%,Low,18,2.56,15.21,,,,,Y,,,,,,,,,,,,
best home carpet cleaner,USD,5000,0%,0%,High,100,0.55,2.3,,,,,Y,,,,,,,,,,,,
zerorez near me,USD,5000,900%,0%,Medium,43,2.5,10.29,,,,,Y,,,,,,,,,,,,
chemdry near me,USD,5000,0%,0%,Medium,35,2.69,12.1,,,,,Y,,,,,,,,,,,,
same day carpet cleaning,USD,5000,900%,0%,High,83,5.35,19.82,,,,,Y,,,,,,,,,,,,
hand held carpet cleaner,USD,5000,0%,0%,High,100,0.38,1.35,,,,,Y,,,,,,,,,,,,
dyson carpet cleaner,USD,5000,0%,0%,High,100,0.43,1.84,,,,,Y,,,,,,,,,,,,
persian rug cleaning near me,USD,500,0%,-90%,High,85,2.57,12,,,,,Y,,,,,,,,,,,,
steam cleaning services,USD,5000,0%,0%,High,71,3.06,13.88,,,,,Y,,,,,,,,,,,,
stanley steemer carpet cleaning,USD,500000,0%,0%,Medium,40,1.29,6.82,,,,,Y,,,,,,,,,,,,
clean carpet,USD,500000,0%,0%,High,94,2,11.09,,,,,Y,,,,,,,,,,,,
carpet cleaning specials,USD,5000,900%,0%,Medium,42,2.58,11.91,,,,,Y,,,,,,,,,,,,
cheap carpet cleaning near me,USD,5000,0%,0%,High,83,2.85,13.06,,,,,Y,,,,,,,,,,,,
green carpet cleaning,USD,5000,0%,0%,High,95,1.7,10.01,,,,,Y,,,,,,,,,,,,
local carpet cleaners,USD,5000,0%,0%,High,74,2.98,16.14,,,,,Y,,,,,,,,,,,,
small carpet cleaner,USD,5000,0%,0%,High,100,0.22,1.44,,,,,Y,,,,,,,,,,,,
mytee extractor,USD,5000,0%,0%,High,100,0.5,4,,,,,Y,,,,,,,,,,,,
carpet drying,USD,500,0%,0%,Medium,37,7.51,42.25,,,,,Y,,,,,,,,,,,,
bissell pet carpet cleaner,USD,5000,0%,0%,High,100,0.51,7,,,,,Y,,,,,,,,,,,,
commercial carpet cleaner,USD,50000,0%,-90%,High,93,1.65,17.1,,,,,Y,,,,,,,,,,,,
best portable carpet cleaner,USD,5000,0%,0%,High,100,0.48,1.33,,,,,Y,,,,,,,,,,,,
chem dry carpet cleaning near me,USD,500,0%,0%,Medium,43,2.24,10.65,,,,,Y,,,,,,,,,,,,
